1971	1
1972	1
1973	2
1975	1
1976	1
1977	1
1978	1
1979	1
1989	1
1991	5
1992	13
1993	36
1994	58
1995	108
1996	335
1997	335
1998	350
1999	343
2000	353
2001	332
2002	388
2003	1481
2004	7118
2005	5099
2006	3638
2007	3853
2008	3723
2009	3160
2010	3974
2011	3656
2012	3283
2013	2822
2014	3282
2015	2980
2016	3042
2017	2427
2018	2303
2019	2478
2020	3129
2021	2866
2022	2615
2023	2492
