ID,YEAR,TITLE,LANGUAGE,AUTHORS
10946,2004-02-01,"Three Frenchmen in Bengal
The Commercial Ruin of the French Settlements in 1757",en,"Hill, Samuel Charles, 1857-1926"
10947,2004-02-01,The Best American Humorous Short Stories,en,"Bunner, H. C. (Henry Cuyler), 1855-1896 [Contributor]; Chester, George Randolph, 1869-1924 [Contributor]; Cooke, Grace MacGowan, 1863-1944 [Contributor]; Curtis, George William, 1824-1892 [Contributor]; Edwards, Harry Stillwell, 1855-1938 [Contributor]; Hale, Edward Everett, 1822-1909 [Contributor]; Harte, Bret, 1836-1902 [Contributor]; Hastings, Wells, 1879-1923 [Contributor]; Henry, O., 1862-1910 [Contributor]; Holmes, Oliver Wendell, 1809-1894 [Contributor]; Johnston, Richard Malcolm, 1822-1898 [Contributor]; Kirkland, Caroline M. (Caroline Matilda), 1801-1864 [Contributor]; Lampton, William J. (William James), -1917 [Contributor]; Leslie, Eliza, 1787-1858 [Contributor]; Morris, George Pope, 1802-1864 [Contributor]; Poe, Edgar Allan, 1809-1849 [Contributor]; Stockton, Frank R., 1834-1902 [Contributor]; Twain, Mark, 1835-1910 [Contributor]; Jessup, Alexander, 1871- [Editor]"
10948,2004-02-01,The Stories of the Three Burglars,en,"Stockton, Frank R., 1834-1902"
10949,2004-02-01,The Romance of Zion Chapel [3d ed.],en,"Le Gallienne, Richard, 1866-1947"
10950,2004-02-01,"The Mirror of Literature, Amusement, and Instruction. Volume 13, No. 355, February 7, 1829",en,Various
10951,2004-02-01,"A Compilation of the Messages and Papers of the Presidents. Volume 5, part 1: Presidents Taylor and Fillmore",en,"Richardson, James D. (James Daniel), 1843-1914 [Editor]"
10952,2004-02-01,"Punch, or the London Charivari, Volume 156, Jan. 15, 1919",en,Various
10953,2004-02-01,"Histoire de la Révolution française, Tome 05",fr,"Thiers, Adolphe, 1797-1877"
10954,2004-02-01,The Girl Aviators' Sky Cruise,en,"Burnham, Margaret"
10955,2004-02-01,"The Gospels in the Second Century
An Examination of the Critical Part of a Work Entitled 'Supernatural Religion'",en,"Sanday, W. (William), 1843-1920"
10956,2004-02-01,Indian speeches (1907-1909),en,"Morley, John, 1838-1923"
