ID,YEAR,TITLE,LANGUAGE,AUTHORS
1,1971-12-01,The Declaration of Independence of the United States of America,en,"Jefferson, Thomas, 1743-1826"
2,1972-12-01,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",en,United States
3,1973-11-01,John F. Kennedy's Inaugural Address,en,"Kennedy, John F. (John Fitzgerald), 1917-1963"
4,1973-11-01,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",en,"Lincoln, Abraham, 1809-1865"
5,1975-12-01,The United States Constitution,en,United States
6,1976-12-01,Give Me Liberty or Give Me Death,en,"Henry, Patrick, 1736-1799"
7,1977-12-01,The Mayflower Compact,en,
8,1978-12-01,Abraham Lincoln's Second Inaugural Address,en,"Lincoln, Abraham, 1809-1865"
9,1979-12-01,Abraham Lincoln's First Inaugural Address,en,"Lincoln, Abraham, 1809-1865"
10,1989-08-01,The King James Version of the Bible,en,
11,2008-06-27,Alice's Adventures in Wonderland,en,"Carroll, Lewis, 1832-1898"
12,2008-06-25,Through the Looking-Glass,en,"Carroll, Lewis, 1832-1898"
13,2008-06-25,The Hunting of the Snark: An Agony in Eight Fits,en,"Carroll, Lewis, 1832-1898"
14,1991-04-01,The 1990 CIA World Factbook,en,United States. Central Intelligence Agency
15,1991-05-01,"Moby-Dick; or, The Whale",en,"Melville, Herman, 1819-1891"
16,2008-06-25,Peter Pan,en,"Barrie, J. M. (James Matthew), 1860-1937"
17,2008-06-25,"The Book of Mormon
An Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi",en,"Church of Jesus Christ of Latter-day Saints; Smith, Joseph, Jr., 1805-1844"
18,1991-08-01,The Federalist Papers,en,"Hamilton, Alexander, 1757-1804; Jay, John, 1745-1829; Madison, James, 1751-1836"
19,2004-06-01,The Song of Hiawatha,en,"Longfellow, Henry Wadsworth, 1807-1882; Morris, Woodrow W. [Editor]"
20,1991-10-01,Paradise Lost,en,"Milton, John, 1608-1674"
21,2008-06-25,"Aesop's Fables
Translated by George Fyler Townsend",en,"Aesop, 620? BCE-564? BCE; Townsend, George Fyler, 1814-1900 [Translator]"
22,1991-12-01,Roget's Thesaurus,en,"Roget, Peter Mark, 1779-1869"
23,2006-01-12,"Narrative of the Life of Frederick Douglass, an American Slave",en,"Douglass, Frederick, 1818-1895"
24,2008-06-27,O Pioneers!,en,"Cather, Willa, 1873-1947"
25,1992-02-01,The 1991 CIA World Factbook,en,United States. Central Intelligence Agency
26,1992-02-01,Paradise Lost,en,"Milton, John, 1608-1674"
27,1992-03-01,Far from the Madding Crowd,en,"Hardy, Thomas, 1840-1928"
28,1992-03-01,"The Fables of Aesop
Selected, Told Anew, and Their History Traced",en,"Aesop, 620? BCE-564? BCE; Jacobs, Joseph, 1854-1916 [Editor]"
29,1992-04-01,The 1990 United States Census,en,United States. Bureau of the Census
30,1992-04-01,"The Bible, King James Version, Complete",en,
31,2006-03-08,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,en,"Sophocles, 495? BCE-406 BCE; Storr, Francis, 1839-1919 [Translator]"
32,2008-06-27,Herland,en,"Gilman, Charlotte Perkins, 1860-1935"
33,1992-06-01,The Scarlet Letter,en,"Hawthorne, Nathaniel, 1804-1864"
34,1992-06-01,Zen and the Art of the Internet,en,"Kehoe, Brendan P., 1970-2011"
35,2004-10-02,The Time Machine,en,"Wells, H. G. (Herbert George), 1866-1946"
36,2004-10-01,The War of the Worlds,en,"Wells, H. G. (Herbert George), 1866-1946"
37,1992-08-01,The 1990 United States Census [2nd],en,United States. Bureau of the Census
38,1992-08-01,"The Jargon File, Version 2.9.10, 01 Jul 1992",en,"Raymond, Eric S., 1957- [Editor]; Steele, Guy L., 1954- [Editor]"
39,1992-09-01,Hitchhiker's Guide to the Internet,en,"Krol, Ed, 1951-"
40,1992-09-01,NorthWestNet User Services Internet Resource Guide (NUSIRG),en,"Kochmer, Jonathan"
41,2008-06-27,The Legend of Sleepy Hollow,en,"Irving, Washington, 1783-1859"
42,1992-10-01,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Stevenson, Robert Louis, 1850-1894"
43,2008-06-27,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Stevenson, Robert Louis, 1850-1894"
44,2008-06-27,The Song of the Lark,en,"Cather, Willa, 1873-1947"
45,2008-06-27,Anne of Green Gables,en,"Montgomery, L. M. (Lucy Maud), 1874-1942"
46,2004-08-11,A Christmas Carol in Prose; Being a Ghost Story of Christmas,en,"Dickens, Charles, 1812-1870; Leech, John, 1817-1864 [Illustrator]"
47,2006-03-08,Anne of Avonlea,en,"Montgomery, L. M. (Lucy Maud), 1874-1942"
48,1993-01-01,The 1992 CIA World Factbook,en,United States. Central Intelligence Agency
49,1993-01-01,"Surfing the Internet: An Introduction
Version 2.0.2",en,"Polly, Jean Armour"
50,1993-01-01,Pi,en,"Hemphill, Scott"
51,2006-03-08,Anne of the Island,en,"Montgomery, L. M. (Lucy Maud), 1874-1942"
52,1993-02-01,The Square Root of 2,en,"Kerr, Stan"
53,1993-02-01,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992",en,"Library of Congress; Daly, James, 1948- [Editor]"
54,1993-02-01,The Marvelous Land of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919"
55,1993-02-01,The Wonderful Wizard of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919"
56,1993-03-01,NREN for All: Insurmountable Opportunity,en,"Polly, Jean Armour"
57,1993-03-01,Aladdin and the Magic Lamp,en,Unknown
58,1993-03-01,Paradise Regained,en,"Milton, John, 1608-1674"
59,1993-03-01,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,en,"Descartes, René, 1596-1650; Veitch, John, 1829-1894 [Translator]"
60,2006-03-08,The Scarlet Pimpernel,en,"Orczy, Emmuska Orczy, Baroness, 1865-1947"
61,2005-01-25,The Communist Manifesto,en,"Engels, Friedrich, 1820-1895; Marx, Karl, 1818-1883"
62,1993-04-01,A Princess of Mars,en,"Burroughs, Edgar Rice, 1875-1950"
63,1993-04-01,"The Number ""e""",en,Unknown
64,1993-05-01,The Gods of Mars,en,"Burroughs, Edgar Rice, 1875-1950"
65,1993-05-01,"The First 100,000 Prime Numbers",en,Unknown
66,1993-05-01,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,en,"Joly, Norman F."
67,1993-05-01,The Black Experience in America,en,"Coombs, Norman, 1932-"
68,1993-06-01,The warlord of Mars,en,"Burroughs, Edgar Rice, 1875-1950"
69,1993-06-01,"The 32nd Mersenne Prime
Predicted by Mersenne",en,"Slowinski, David"
70,2004-09-13,What Is Man? and Other Essays,en,"Twain, Mark, 1835-1910"
71,1993-06-01,On the Duty of Civil Disobedience,en,"Thoreau, Henry David, 1817-1862"
72,1993-07-01,"Thuvia, Maid of Mars",en,"Burroughs, Edgar Rice, 1875-1950"
73,1993-07-01,The Red Badge of Courage: An Episode of the American Civil War,en,"Crane, Stephen, 1871-1900"
74,2004-07-01,"The Adventures of Tom Sawyer, Complete",en,"Twain, Mark, 1835-1910"
75,1993-07-01,E-mail 101,en,"Goodwin, John E."
76,2004-06-29,Adventures of Huckleberry Finn,en,"Twain, Mark, 1835-1910; Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]"
77,1993-08-01,The House of the Seven Gables,en,"Hawthorne, Nathaniel, 1804-1864"
78,1993-08-01,Tarzan of the Apes,en,"Burroughs, Edgar Rice, 1875-1950"
79,1993-08-01,Terminal Compromise,en,"Schwartau, Winn, 1952-"
80,1993-09-01,The Online World,en,"De Presno, Odd, 1944-"
81,1993-09-01,The Return of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950"
82,2008-06-25,Ivanhoe: A Romance,en,"Scott, Walter, 1771-1832"
83,1993-09-01,"From the Earth to the Moon; and, Round the Moon",en,"Verne, Jules, 1828-1905"
84,1993-10-01,"Frankenstein; Or, The Modern Prometheus",en,"Shelley, Mary Wollstonecraft, 1797-1851"
85,1993-10-01,The Beasts of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950"
86,2004-07-07,A Connecticut Yankee in King Arthur's Court,en,"Twain, Mark, 1835-1910"
87,1993-10-01,The 1993 CIA World Factbook,en,United States. Central Intelligence Agency
88,1993-11-01,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,en,"Hart, Michael, 1947-2011"
89,1993-11-01,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",en,Canada
90,1993-11-01,The Son of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950"
91,2004-09-14,Tom Sawyer Abroad,en,"Twain, Mark, 1835-1910"
92,1993-12-01,Tarzan and the Jewels of Opar,en,"Burroughs, Edgar Rice, 1875-1950"
93,2004-09-14,"Tom Sawyer, Detective",en,"Twain, Mark, 1835-1910"
94,2006-03-08,Alexander's Bridge,en,"Cather, Willa, 1873-1947"
95,2006-01-09,The Prisoner of Zenda,en,"Hope, Anthony, 1863-1933"
96,1994-01-01,The Monster Men,en,"Burroughs, Edgar Rice, 1875-1950"
97,1994-01-01,Flatland: A Romance of Many Dimensions,en,"Abbott, Edwin Abbott, 1838-1926"
98,1994-01-01,A Tale of Two Cities,en,"Dickens, Charles, 1812-1870"
99,1994-01-01,Collected Articles of Frederick Douglass,en,"Douglass, Frederick, 1818-1895"
100,1994-01-01,The Complete Works of William Shakespeare,en,"Shakespeare, William, 1564-1616"
101,1994-01-01,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,en,"Sterling, Bruce, 1954-"
102,2004-09-14,The Tragedy of Pudd'nhead Wilson,en,"Twain, Mark, 1835-1910"
103,1994-01-01,Around the World in Eighty Days,en,"Verne, Jules, 1828-1905"
104,1994-02-01,"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933",en,"Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
105,1994-02-01,Persuasion,en,"Austen, Jane, 1775-1817"
106,1994-02-01,Jungle Tales of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950"
107,1994-02-01,Far from the Madding Crowd,en,"Hardy, Thomas, 1840-1928"
108,2006-03-08,The Return of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930"
109,1994-02-01,"Renascence, and Other Poems",en,"Millay, Edna St. Vincent, 1892-1950"
110,1994-02-01,Tess of the d'Urbervilles: A Pure Woman,en,"Hardy, Thomas, 1840-1928"
111,2006-03-08,Freckles,en,"Stratton-Porter, Gene, 1863-1924"
112,1994-03-01,Violists,en,"McGowan, Richard, 1958-"
113,1994-03-01,The Secret Garden,en,"Burnett, Frances Hodgson, 1849-1924"
114,1994-03-01,The Tenniel Illustrations for Carroll's Alice in Wonderland,en,"Tenniel, John, 1820-1914"
115,1994-03-01,United States Census Figures Back to 1630,en,United States. Bureau of the Census
116,1994-03-01,Motion Pictures of the Apollo 11 Lunar Landing,en,United States
117,1994-03-01,Symphony No. 5 in C minor Opus 67,en,"Beethoven, Ludwig van, 1770-1827"
118,1994-03-01,Big Dummy's Guide to the Internet,en,"Electronic Frontier Foundation; Gaffin, Adam [Author of introduction, etc.]; Kapor, Mitchell [Author of introduction, etc.]"
119,2004-06-19,A Tramp Abroad,en,"Twain, Mark, 1835-1910"
120,2006-02-26,Treasure Island,en,"Stevenson, Robert Louis, 1850-1894; Rhead, Louis, 1857-1926 [Illustrator]"
121,1994-04-01,Northanger Abbey,en,"Austen, Jane, 1775-1817"
122,2006-03-08,The Return of the Native,en,"Hardy, Thomas, 1840-1928"
123,1994-04-01,At the Earth's Core,en,"Burroughs, Edgar Rice, 1875-1950"
124,1994-04-01,"Deuterocanonical Books of the Bible
Apocrypha",en,Anonymous
125,2006-03-08,A Girl of the Limberlost,en,"Stratton-Porter, Gene, 1863-1924"
126,1994-04-01,The Poison Belt,en,"Doyle, Arthur Conan, 1859-1930"
127,1994-04-01,"The Number ""e""",en,"Bonnell, Jerry T.; Nemiroff, Robert J."
128,1994-05-01,The Arabian Nights Entertainments,en,"Lang, Andrew, 1844-1912"
129,1994-05-01,The Square Root of 2,en,"Bonnell, Jerry T.; Nemiroff, Robert J."
130,1994-05-01,Orthodoxy,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936"
131,1994-05-01,"The Pilgrim's Progress from this world to that which is to come
Delivered under the similitude of a dream, by John Bunyan",en,"Bunyan, John, 1628-1688"
132,1994-05-01,The Art of War,en,"Sunzi, active 6th century B.C.; Giles, Lionel, 1875-1958 [Translator]"
133,2006-03-08,The Damnation of Theron Ware,en,"Frederic, Harold, 1856-1898"
134,2006-03-08,"Maria; Or, The Wrongs of Woman",en,"Wollstonecraft, Mary, 1759-1797"
135,2008-06-22,Les Misérables,en,"Hugo, Victor, 1802-1885; Hapgood, Isabel Florence, 1850-1928 [Translator]"
136,1994-06-01,A Child's Garden of Verses,en,"Stevenson, Robert Louis, 1850-1894"
137,2006-03-08,"Sara Crewe; Or, What Happened at Miss Minchin's Boarding School",en,"Burnett, Frances Hodgson, 1849-1924"
138,2006-03-11,George Sand: Some Aspects of Her Life and Writings,en,"Doumic, René, 1860-1937; Hallard, Alys [Translator]"
139,1994-06-01,The Lost World,en,"Doyle, Arthur Conan, 1859-1930"
140,2006-03-11,The Jungle,en,"Sinclair, Upton, 1878-1968"
141,1994-06-01,Mansfield Park,en,"Austen, Jane, 1775-1817"
142,2004-09-14,"The $30,000 Bequest, and Other Stories",en,"Twain, Mark, 1835-1910"
143,2006-03-11,The Mayor of Casterbridge,en,"Hardy, Thomas, 1840-1928"
144,2006-01-12,The Voyage Out,en,"Woolf, Virginia, 1882-1941"
145,1994-07-01,Middlemarch,en,"Eliot, George, 1819-1880"
146,1994-07-01,"A Little Princess
Being the whole story of Sara Crewe now told for the first time",en,"Burnett, Frances Hodgson, 1849-1924"
147,1994-07-01,Common Sense,en,"Paine, Thomas, 1737-1809"
148,1994-07-01,The Autobiography of Benjamin Franklin,en,"Franklin, Benjamin, 1706-1790; Eliot, Charles William, 1834-1926 [Editor]"
149,1994-07-01,The Lost Continent,en,"Burroughs, Edgar Rice, 1875-1950"
150,1994-07-01,The Republic,en,"Plato, 427? BCE-347? BCE; Jowett, Benjamin, 1817-1893 [Translator]"
151,2006-03-11,The Rime of the Ancient Mariner,en,"Coleridge, Samuel Taylor, 1772-1834"
152,1994-08-01,Wild Justice,en,"Sprague, Ruth M."
153,1994-08-01,Jude the Obscure,en,"Hardy, Thomas, 1840-1928"
154,1994-08-01,The Rise of Silas Lapham,en,"Howells, William Dean, 1837-1920"
155,2006-01-12,The Moonstone,en,"Collins, Wilkie, 1824-1889"
156,1994-08-01,"Symphony No. 5 in C minor, Opus 67",en,"Beethoven, Ludwig van, 1770-1827"
157,1994-08-01,Daddy-Long-Legs,en,"Webster, Jean, 1876-1916"
158,1994-08-01,Emma,en,"Austen, Jane, 1775-1817"
159,2004-10-14,The island of Doctor Moreau,en,"Wells, H. G. (Herbert George), 1866-1946"
160,2006-03-11,"The Awakening, and Selected Short Stories",en,"Chopin, Kate, 1850-1904"
161,1994-09-01,Sense and Sensibility,en,"Austen, Jane, 1775-1817"
162,1994-09-01,Take Me for a Ride: Coming of Age in a Destructive Cult,en,"Laxer, Mark E."
163,1994-09-01,Flower Fables,en,"Alcott, Louisa May, 1832-1888"
164,1994-09-01,Twenty Thousand Leagues under the Sea,en,"Verne, Jules, 1828-1905"
165,2006-03-12,McTeague: A Story of San Francisco,en,"Norris, Frank, 1870-1902"
166,2006-03-12,Summer,en,"Wharton, Edith, 1862-1937"
167,1994-09-01,American Hand Book of the Daguerreotype,en,"Humphrey, S. D. (Samuel Dwight), 1823-1883"
168,1994-10-01,The History and Practice of the Art of Photography,en,"Snelling, Henry Hunt, 1816-1897"
169,1994-10-01,The Well at the World's End: A Tale,en,"Morris, William, 1834-1896"
170,1994-10-01,The Haunted Hotel: A Mystery of Modern Venice,en,"Collins, Wilkie, 1824-1889"
171,2006-03-12,Charlotte Temple,en,"Rowson, Mrs., 1762-1824"
172,1994-10-01,The Haunted Bookshop,en,"Morley, Christopher, 1890-1957"
173,1994-10-01,The Insidious Dr. Fu Manchu,en,"Rohmer, Sax, 1883-1959"
174,1994-10-01,The Picture of Dorian Gray,en,"Wilde, Oscar, 1854-1900"
175,1994-10-01,The Phantom of the Opera,en,"Leroux, Gaston, 1868-1927"
176,2006-03-12,Roderick Hudson,en,"James, Henry, 1843-1916"
177,2006-03-12,The American,en,"James, Henry, 1843-1916"
178,2006-03-15,Confidence,en,"James, Henry, 1843-1916"
179,2006-03-15,The Europeans,en,"James, Henry, 1843-1916"
180,1994-11-01,The 1994 CIA World Factbook,en,United States. Central Intelligence Agency
181,2001-01-01,The Project Gutenberg RST Manual,en,"Perathoner, Marcello"
200,1995-01-01,"The Project Gutenberg Encyclopedia, Volume 1 of 28",en,Project Gutenberg
201,1995-01-01,Flatland: A Romance of Many Dimensions,en,"Abbott, Edwin Abbott, 1838-1926"
202,2008-07-02,My Bondage and My Freedom,en,"Douglass, Frederick, 1818-1895"
203,2006-01-13,Uncle Tom's Cabin,en,"Stowe, Harriet Beecher, 1811-1896"
204,2008-07-09,The Innocence of Father Brown,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936"
205,1995-01-01,"Walden, and On The Duty Of Civil Disobedience",en,"Thoreau, Henry David, 1817-1862"
206,2008-06-29,"The Martin Luther King, Jr. Day, 1995, Memorial Issue",en,Various
207,1995-01-01,The Spell of the Yukon and Other Verses,en,"Service, Robert W. (Robert William), 1874-1958"
208,2008-07-03,Daisy Miller: A Study,en,"James, Henry, 1843-1916"
209,1995-02-01,The Turn of the Screw,en,"James, Henry, 1843-1916"
210,2008-07-09,An International Episode,en,"James, Henry, 1843-1916"
211,2008-06-29,The Aspern Papers,en,"James, Henry, 1843-1916"
212,1995-02-01,A List of Factorial Math Constants,en,Unknown
213,1995-02-01,The Man from Snowy River,en,"Paterson, A. B. (Andrew Barton), 1864-1941"
214,2008-07-03,"In the Days When the World Was Wide, and Other Verses",en,"Lawson, Henry, 1867-1922"
215,2008-07-02,The call of the wild,en,"London, Jack, 1876-1916"
216,1995-02-01,"The Tao Teh King, or the Tao and its Characteristics",en,"Laozi; Legge, James, 1815-1897 [Translator]"
217,2006-01-16,Sons and Lovers,en,"Lawrence, D. H. (David Herbert), 1885-1930"
218,2008-07-03,"C. Iuli Caesaris De Bello Gallico, I-IV",la,"Caesar, Julius, 99 BCE-43 BCE"
219,2006-01-09,Heart of Darkness,en,"Conrad, Joseph, 1857-1924"
220,2006-01-09,The Secret Sharer,en,"Conrad, Joseph, 1857-1924"
221,1995-02-01,The Return of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930"
222,1995-02-01,The Moon and Sixpence,en,"Maugham, W. Somerset (William Somerset), 1874-1965"
223,1995-02-01,The Wisdom of Father Brown,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936"
224,2008-07-11,A pair of blue eyes,en,"Hardy, Thomas, 1840-1928"
225,2008-07-11,At the Back of the North Wind,en,"MacDonald, George, 1824-1905"
226,1995-03-01,Cicero's Orations,la,"Cicero, Marcus Tullius, 106 BCE-43 BCE"
227,1995-03-01,Aeneidos,la,"Virgil, 70 BCE-19 BCE"
228,1995-03-01,The Aeneid,en,"Virgil, 70 BCE-19 BCE; Dryden, John, 1631-1700 [Translator]"
229,1995-03-01,The Bucolics and Eclogues,la,"Virgil, 70 BCE-19 BCE"
230,1995-03-01,The Bucolics and Eclogues,en,"Virgil, 70 BCE-19 BCE"
231,1995-03-01,Georgicon,la,"Virgil, 70 BCE-19 BCE"
232,1995-03-01,The Georgics,en,"Virgil, 70 BCE-19 BCE; Rhoades, James, 1841-1923 [Translator]"
233,1995-03-01,Sister Carrie: A Novel,en,"Dreiser, Theodore, 1871-1945"
234,2008-07-02,Child Christopher and Goldilind the Fair,en,"Morris, William, 1834-1896"
235,1995-03-01,William Gibson Interviewed,en,"Salza, Giuseppe"
236,2006-01-16,The Jungle Book,en,"Kipling, Rudyard, 1865-1936"
237,1995-03-01,Sexti Properti Elegiarvm: Liber Primvs,la,"Propertius, Sextus"
238,2008-07-03,Dear Enemy,en,"Webster, Jean, 1876-1916"
239,1995-03-01,Radar Map of the United States,en,United States
240,1995-04-01,Stories from the Old Attic,en,"Harris, Robert A. (Robert Alan), 1950-"
241,2008-07-02,"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter",en,"Brown, William Wells, 1814?-1884"
242,2008-07-11,My Ántonia,en,"Cather, Willa, 1873-1947"
243,2006-03-15,"The Forged Coupon, and Other Stories",en,"Tolstoy, Leo, graf, 1828-1910; Wright, C. T. Hagberg (Charles Theodore Hagberg), 1862-1940 [Editor]"
244,1995-04-01,A Study in Scarlet,en,"Doyle, Arthur Conan, 1859-1930"
245,2004-07-10,Life on the Mississippi,en,"Twain, Mark, 1835-1910"
246,1995-04-01,The Rubaiyat of Omar Khayyam,en,"Omar Khayyam, 1048-1122; FitzGerald, Edward, 1809-1883 [Translator]"
247,1995-04-01,Webster's Unabridged Dictionary (1st 100 Pages),en,"Webster, Noah, 1758-1843"
248,1995-04-01,Webster's Unabridged Dictionary (2nd 100 Pages),en,"Webster, Noah, 1758-1843"
249,1995-04-01,French Cave Paintings,en,
250,1995-04-01,"A Brief History of the Internet
The Bright Side: The Dark Side",en,"Fuller, Maxwell; Hart, Michael, 1947-2011"
251,1995-04-01,1995 United States Congressional Address Book,en,United States
252,1995-04-01,"Copyright Law of the United States of America
Contained in Title 17 of the United States Code",en,Library of Congress. Copyright Office; United States
253,1995-04-01,The Universal Copyright Convention (1988),en,Coalition for Networked Information
254,2008-07-09,"The Second Story of Meno
A Continuation of Socrates' Dialogue with Meno in Which the Boy Proves Root 2 is Irrational",en,Unknown
255,1995-04-01,"QREAD, Etext Reader for Windows",en,"Scavezze, Dan"
256,1995-05-01,Motion Picture of Rotating Earth,en,United States
257,1995-05-01,Troilus and Criseyde,en,"Chaucer, Geoffrey, 1343?-1400"
258,2008-06-29,Poems by Adam Lindsay Gordon,en,"Gordon, Adam Lindsay, 1833-1870; Clarke, Marcus Andrew Hislop, 1846-1881 [Editor]"
259,2008-07-02,Ballads of a Cheechako,en,"Service, Robert W. (Robert William), 1874-1958"
260,2008-07-05,An Introduction to the Study of Robert Browning's Poetry,en,"Browning, Robert, 1812-1889; Corson, Hiram, 1828-1911"
261,2008-07-03,A Dome of Many-Coloured Glass,en,"Lowell, Amy, 1874-1925"
262,1995-05-01,The Collected Poems of Rupert Brooke,en,"Brooke, Rupert, 1887-1915; Woodberry, George Edward, 1855-1930 [Author of introduction, etc.]; Lavington, Margaret [Contributor]"
263,1995-05-01,"Trees, and Other Poems",en,"Kilmer, Joyce, 1886-1918"
264,2008-07-09,"Main Street, and Other Poems",en,"Kilmer, Joyce, 1886-1918"
265,2008-07-03,The Life and Death of Cormac the Skald,en,"Collingwood, W. G. (William Gershom), 1854-1932 [Translator]; Jón Stefánsson, 1862- [Translator]"
266,2008-07-03,"Confessio Amantis; Or, Tales of the Seven Deadly Sins",en,"Gower, John, 1325?-1408; Macaulay, G. C. (George Campbell), 1852-1915 [Editor]"
267,1995-05-01,The Touchstone,en,"Wharton, Edith, 1862-1937"
268,2008-07-11,The Octopus : A Story of California,en,"Norris, Frank, 1870-1902"
269,1995-05-01,Beasts and Super-Beasts,en,"Saki, 1870-1916"
270,2008-07-03,Dream Days,en,"Grahame, Kenneth, 1859-1932"
271,2006-01-16,Black Beauty,en,"Sewell, Anna, 1820-1878"
272,1995-06-01,An Open Letter on Translating,en,"Luther, Martin, 1483-1546; Mann, Gary [Translator]"
273,1995-06-01,The Smalcald Articles,en,"Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]"
274,1995-06-01,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,en,"Luther, Martin, 1483-1546"
275,2008-06-29,"The Augsburg Confession
The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530",en,"Melanchthon, Philipp, 1497-1560"
276,1995-06-01,"Franz Haydn's 104th Symphony [1794-5]
MIDI file",en,"Haydn, Joseph, 1732-1809"
277,2008-06-29,Trinity Site,en,National Atomic Museum (U.S.)
278,2014-09-14,"Trinity Site: 1945-1995.
A National Historic Landmark, White Sands Missile Range, New Mexico",en,White Sands Missile Range (N.M.). Public Affairs Office
279,2014-09-14,Photos and Maps of Trinity (Atomic Test) Site,en,White Sands Missile Range (N.M.). Public Affairs Office [Contributor]
280,1995-06-01,Records of a Family of Engineers,en,"Stevenson, Robert Louis, 1850-1894"
281,1995-06-01,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,en,"Stevenson, Robert Louis, 1850-1894"
282,1995-06-01,"Eothen; Or, Traces of Travel Brought Home from the East",en,"Kinglake, Alexander William, 1809-1891"
283,1995-06-01,The Reef,en,"Wharton, Edith, 1862-1937"
284,1995-06-01,The House of Mirth,en,"Wharton, Edith, 1862-1937"
285,2008-07-09,The Lost Continent,en,"Hyne, Charles John Cutcliffe Wright, 1866-1944"
286,1995-06-01,Laddie: A True Blue Story,en,"Stratton-Porter, Gene, 1863-1924"
287,2008-06-29,Remember the Alamo,en,"Barr, Amelia E., 1831-1919"
288,1995-07-01,The Certain Hour (Dizain des Poëtes),en,"Cabell, James Branch, 1879-1958"
289,1995-07-01,The Wind in the Willows,en,"Grahame, Kenneth, 1859-1932"
290,1995-07-01,"The Stark Munro Letters
Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884",en,"Doyle, Arthur Conan, 1859-1930"
291,2008-07-03,The Golden Age,en,"Grahame, Kenneth, 1859-1932"
292,2008-06-29,"Beauty and the Beast, and Tales of Home",en,"Taylor, Bayard, 1825-1878"
293,2006-03-15,Paul Prescott's Charge,en,"Alger, Horatio, Jr., 1832-1899"
294,1995-07-01,"The Captain of the Polestar, and Other Tales",en,"Doyle, Arthur Conan, 1859-1930"
295,1995-07-01,The Early Short Fiction of Edith Wharton — Part 1,en,"Wharton, Edith, 1862-1937"
296,2006-03-15,The Cash Boy,en,"Alger, Horatio, Jr., 1832-1899"
297,1995-07-01,The Flirt,en,"Tarkington, Booth, 1869-1946"
298,2008-07-09,The Market-Place,en,"Frederic, Harold, 1856-1898"
299,1995-07-01,Tales from Two Hemispheres,en,"Boyesen, Hjalmar Hjorth, 1848-1895"
300,1995-07-01,United States Declaration of Independence,en,"Jefferson, Thomas, 1743-1826"
301,1995-07-01,The Ballad of Reading Gaol,en,"Wilde, Oscar, 1854-1900"
302,1995-07-01,The Fibonacci Number Series,en,"Husted, Michael"
303,1995-07-01,HomeBrew HomePages Put YOU on the World Wide Web,en,Anonymous
304,1995-08-01,"Rio Grande's Last Race, and Other Verses",en,"Paterson, A. B. (Andrew Barton), 1864-1941"
305,2008-07-02,The Count's Millions,en,"Gaboriau, Emile, 1832-1873"
306,1995-08-01,The Early Short Fiction of Edith Wharton — Part 2,en,"Wharton, Edith, 1862-1937"
307,2008-06-29,"Three Elephant Power, and Other Stories",en,"Paterson, A. B. (Andrew Barton), 1864-1941"
308,1995-08-01,Three Men in a Boat (To Say Nothing of the Dog),en,"Jerome, Jerome K. (Jerome Klapka), 1859-1927"
309,1995-08-01,Rhymes of a Rolling Stone,en,"Service, Robert W. (Robert William), 1874-1958"
310,2008-06-29,Before Adam,en,"London, Jack, 1876-1916"
311,2008-07-02,Bunner Sisters,en,"Wharton, Edith, 1862-1937"
312,1995-08-01,Young Adventure: A Book of Poems,en,"Benét, Stephen Vincent, 1898-1943"
